expected,m,=,2^20,,,,,,,,,
----------------------,,,,,,,,,,,,
i=,11,n=,2048,m=,1048443,,,,,,,
,,,,,,#insert,#delete,#update,#swap,,,
heap2,run#,1,origin,vertex,199,2048,2048,9804,27819,#nodes_visited2048,time(ms)=,117
heap64,run#,1,origin,vertex,199,2048,2048,9879,3537,#nodes_visited2048,time(ms)=,103
heap2,run#,2,origin,vertex,1411,2048,2048,9844,27625,#nodes_visited2048,time(ms)=,117
heap64,run#,2,origin,vertex,1411,2048,2048,9886,3561,#nodes_visited2048,time(ms)=,103
heap2,run#,3,origin,vertex,1062,2048,2048,9900,27644,#nodes_visited2048,time(ms)=,118
heap64,run#,3,origin,vertex,1062,2048,2048,9905,3509,#nodes_visited2048,time(ms)=,103
heap2,run#,4,origin,vertex,1378,2048,2048,9830,27726,#nodes_visited2048,time(ms)=,117
heap64,run#,4,origin,vertex,1378,2048,2048,9871,3537,#nodes_visited2048,time(ms)=,102
heap2,run#,5,origin,vertex,249,2048,2048,10022,28035,#nodes_visited2048,time(ms)=,119
heap64,run#,5,origin,vertex,249,2048,2048,10006,3572,#nodes_visited2048,time(ms)=,104
heap2,run#,6,origin,vertex,2007,2048,2048,9831,27723,#nodes_visited2048,time(ms)=,117
heap64,run#,6,origin,vertex,2007,2048,2048,9875,3570,#nodes_visited2048,time(ms)=,102
heap2,run#,7,origin,vertex,798,2048,2048,9900,27709,#nodes_visited2048,time(ms)=,118
heap64,run#,7,origin,vertex,798,2048,2048,9895,3548,#nodes_visited2048,time(ms)=,103
heap2,run#,8,origin,vertex,1130,2048,2048,9808,27591,#nodes_visited2048,time(ms)=,117
heap64,run#,8,origin,vertex,1130,2048,2048,9732,3525,#nodes_visited2048,time(ms)=,103
heap2,run#,9,origin,vertex,827,2048,2048,9845,28145,#nodes_visited2048,time(ms)=,118
heap64,run#,9,origin,vertex,827,2048,2048,9811,3540,#nodes_visited2048,time(ms)=,102
heap2,run#,10,origin,vertex,63,2048,2048,9939,28026,#nodes_visited2048,time(ms)=,118
heap64,run#,10,origin,vertex,63,2048,2048,9906,3522,#nodes_visited2048,time(ms)=,103
