nivel,2nai,tempo,swaps,Ex15,E,TE
11,2048,1,22528,39782.93745,2210.163192,0.0004524552774
12,4096,4,49152,82128.81548,4562.711971,0.0008766715991
13,8192,8,106496,169003.4556,9389.080868,0.0008520535835
14,16384,18,229376,346843.4254,19269.07919,0.0009341390849
15,32768,33,491520,710218.8647,39456.60359,0.0008363619013
16,65536,61,1048576,1451496.609,80638.70051,0.0007564606028
17,131072,100,2228224,2961559.4,164531.0778,0.0006077879106
18,262144,172,4718592,6033916.511,335217.584,0.0005130995754
19,524288,363,9961472,12278059.46,682114.4144,0.0005321687863
20,1048576,756,20971520,24956053.55,1386447.419,0.0005452785223
21,2097152,1585,44040192,50674759.38,2815264.41,0.00056300218
22,4194304,3329,92274688,102807009.2,5711500.51,0.0005828590918
23,8388608,6970,192937984,208404919.2,11578051.06,0.0006020011452
24,16777216,14568,402653184,422163746.6,23453541.48,0.0006211428671
25,33554432,30823,838860800,854615285.8,47478626.99,0.0006491973748
26,67108864,64403,1744830464,1729029531,96057196.18,0.0006704651245
